GeoFips,GeoName,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3
00000,United States,21058379,21389005,21571421,21960388,21903850,21919222,22066784,22249459,22403435,22539418,22780933,22960600,23053545,23223906,23400294
01000,Alabama,231794.4,233098.1,233262.8,236751.1,236482.7,236710.5,239032.4,242000.2,242878,243977,245845.8,248717.8,248659.8,250739.6,254444.5
02000,Alaska,51163.7,51027.9,51471.8,52153.2,50074.2,50439.4,50687.4,51867.3,52603.5,53932,54828.4,54874.8,54710.6,54561.4,54857
04000,Arizona,383197.7,390550.4,398028.3,408367.1,405972.9,408465.6,410845.9,415629.4,418484.3,421015.8,423551,426547.3,428803.1,432050.1,435344.6
05000,Arkansas,134714.6,137904.2,137750.6,139485.1,138593.9,138183.9,139863.6,141601.5,142340.1,142045.3,142757,144299.8,146111.8,146642.3,149105.5
06000,California,3078576.1,3130909.7,3175140.8,3232127.9,3191257.9,3180774.6,3186374,3177624.8,3222520.6,3228085.4,3262783,3281237.1,3331857.2,3354963.1,3380751.2
08000,Colorado,397732.3,403719,408545.7,415810.7,416912.4,413881.9,419518.6,424962.4,429620,436412.4,439703.2,442488.6,440600.9,443495.5,447218.4
09000,Connecticut,264074.9,269429.2,271320.8,274529.9,276054.1,276897.4,279471.1,283481,282546.1,285462.8,287214.1,291290.9,291102.5,293086.6,295295.3
10000,Delaware,74069.5,74372.8,74600.6,75585.3,77001.9,76889.3,77112,77593.8,76528.2,77790.2,78661.6,79077.5,78722.1,79347.5,79950
11000,District of Columbia,139320.5,143032.3,144800.7,145411.9,145801,144409.4,143876.8,144131.1,144536.4,146642.7,145714.6,147203.3,146805.8,147570.3,148316.9
12000,Florida,1123647.9,1159972.7,1182891.9,1215592.6,1213693.1,1229475.6,1250788.4,1265577.4,1280666.1,1281546.8,1296228.5,1312709,1324280.3,1334883.3,1345731.9
13000,Georgia,629942.7,637976.7,645738.5,658397.1,656228.1,665049.8,666857.3,674577.3,668694,675644.1,681307.9,687158.7,693161.2,699113.5,703632.7
15000,Hawaii,81276.3,84351.2,86407.7,85598.8,86379.9,86234.8,87106,87830.5,88027.3,88425.5,88640.6,89364,89641.2,89946,90521.2
16000,Idaho,87583.5,87838.7,88426.8,92029.2,91749.5,92224.9,93057.5,94582.9,94876.9,94975.9,96162,97576.9,97950.6,99368.8,100547.5
17000,Illinois,841918.7,853522.9,857513.3,870597.5,878185.4,873990.1,874761.8,879206.8,881185.1,882473.2,887438.6,891508.3,887516.3,893704.2,898035.4
18000,Indiana,378535.3,384861.3,387338,397753.5,396828.7,399117.5,400518.7,400658.3,399620.5,401542.8,406128.4,409869.5,414791.6,417659.9,421672.5
19000,Iowa,199235.9,202112.7,200810,202429.9,203457.7,201168,201678.6,200017.3,199362.5,199476.8,203532.6,205833.7,200270.8,201088.5,201097.6
20000,Kansas,169045.8,173398.6,173931,174754,178311.7,175382.6,177760.5,178425.8,181003.3,182592.3,185408.5,186178.1,183328.5,185853,186477.8
21000,Kentucky,213533.2,214155.6,214537.3,218306.8,217155.5,219449.5,220372.7,222044.7,222959.2,222988.3,225666.9,226057.7,226966,228919,231148.8
22000,Louisiana,233414.9,237842.3,238655.9,241443.7,235425.8,235101.1,237071.2,239818.4,243695.2,245985.9,250108.1,254672.8,253820.4,255731.1,257161.8
23000,Maine,70096.8,70810.7,71546.7,72115.5,72816.8,72956.4,72478.1,73893.6,74259.2,74642,75613.2,76267.2,76786.4,77101.9,77795.1
24000,Maryland,406155.4,403334.1,405769.9,412553.1,413769,415724.1,417288.8,418842.7,419395.6,420153.9,425333.4,426582.2,428162.4,430592.8,433776
25000,Massachusetts,581151.9,593078.2,603034.1,606382.9,604456.5,606547,604838.1,616369.9,611332.2,613836.7,616524.5,620324.7,628867.3,631770.4,635408.6
26000,Michigan,520496.6,532043.9,531801.5,537181.4,542021.4,542785.6,543791.1,546285.3,549267.2,553855.8,556576,557325.7,558921.6,564681.9,568779.3
27000,Minnesota,372005,379971.1,377796,382015.9,380549.4,383317.4,387831,387212.9,387261.6,388214.6,392755.2,395400.3,392642.1,393936.5,395901.6
28000,Mississippi,115684.1,115552.5,115319.2,116144.3,116260.1,115733.6,116348.7,117886.1,118602.9,119113.6,119687.5,120789.5,120790.3,121552.2,123069.6
29000,Missouri,327438.2,331937.6,331960,334987.6,336631.1,338585.2,340752,342641.5,344631.7,347267.2,349754.5,352296.3,351820.8,355229.6,358526.7
30000,Montana,52750.1,53276.1,53213.2,53975.2,56224.3,54987.8,54541.3,55022.1,56590.2,57022,57786.9,58094.2,58086.7,58541.5,58527.7
31000,Nebraska,134276.9,135525.1,134914.7,135042.7,138852.3,138489.9,140462.6,139959,143571.5,144439.3,145763.8,146304,144587.4,146449.4,145943.3
