UTC Timestamp (Interval Ending),Local Date,Hour Number,MISO Total Actual Load (MW),Indianapolis Temperature (Fahrenheit),Indianapolis Temperature Observation Time (Eastern Standard),Minneapolis Temperature (Fahrenheit),Minneapolis Temperature Observation Time (Eastern Standard),New Orleans International Airport Temperature (Fahrenheit),New Orleans International Airport Temperature Observation Time (Eastern Standard)
2021-02-10 06:00:00,2021-02-10,1,77859.97,19.9,2/10/21 0:54,0.0,2/10/21 0:53,64.0,2/10/21 0:53
2021-02-10 07:00:00,2021-02-10,2,76211.1,19.9,2/10/21 1:54,-0.9,2/10/21 1:53,63.0,2/10/21 1:53
2021-02-10 08:00:00,2021-02-10,3,75295.06,19.9,2/10/21 2:54,-4.0,2/10/21 2:53,63.0,2/10/21 2:53
2021-02-10 09:00:00,2021-02-10,4,75164.21,19.9,2/10/21 3:54,-2.0,2/10/21 3:53,63.0,2/10/21 3:53
2021-02-10 10:00:00,2021-02-10,5,75743.83,19.9,2/10/21 4:54,-2.0,2/10/21 4:53,62.1,2/10/21 4:53
2021-02-10 11:00:00,2021-02-10,6,77519.41,19.9,2/10/21 5:54,-0.9,2/10/21 5:53,62.1,2/10/21 5:53
2021-02-10 12:00:00,2021-02-10,7,81405.69,19.9,2/10/21 6:54,-2.9,2/10/21 6:53,64.0,2/10/21 6:53
2021-02-10 13:00:00,2021-02-10,8,86524.87,19.9,2/10/21 7:54,-2.0,2/10/21 7:53,64.9,2/10/21 7:53
2021-02-10 14:00:00,2021-02-10,9,88848.72,19.9,2/10/21 8:54,0.0,2/10/21 8:53,64.9,2/10/21 8:53
2021-02-10 15:00:00,2021-02-10,10,89552.29,21.0,2/10/21 9:54,1.9,2/10/21 9:53,66.0,2/10/21 9:53
2021-02-10 16:00:00,2021-02-10,11,89443.58,21.0,2/10/21 10:54,3.0,2/10/21 10:53,66.9,2/10/21 10:53
2021-02-10 17:00:00,2021-02-10,12,88939.44,21.9,2/10/21 11:54,5.0,2/10/21 11:53,66.0,2/10/21 11:53
2021-02-10 18:00:00,2021-02-10,13,88190.58,21.9,2/10/21 12:54,5.0,2/10/21 12:53,68.0,2/10/21 12:53
2021-02-10 19:00:00,2021-02-10,14,87474.25,21.9,2/10/21 13:54,7.0,2/10/21 13:53,69.1,2/10/21 13:53
2021-02-10 20:00:00,2021-02-10,15,86936.68,21.9,2/10/21 14:54,7.0,2/10/21 14:53,73.0,2/10/21 14:53
2021-02-10 21:00:00,2021-02-10,16,86225.69,21.0,2/10/21 15:54,8.1,2/10/21 15:53,73.9,2/10/21 15:53
2021-02-10 22:00:00,2021-02-10,17,85955.58,21.0,2/10/21 16:54,8.1,2/10/21 16:53,73.0,2/10/21 16:53
2021-02-10 23:00:00,2021-02-10,18,87144.98,21.0,2/10/21 17:54,6.1,2/10/21 17:53,72.0,2/10/21 17:53
2021-02-11 00:00:00,2021-02-10,19,89768.98,19.9,2/10/21 18:54,3.9,2/10/21 18:53,69.1,2/10/21 18:53
2021-02-11 01:00:00,2021-02-10,20,91024.26,19.0,2/10/21 19:54,1.0,2/10/21 19:53,68.0,2/10/21 19:53
2021-02-11 02:00:00,2021-02-10,21,89904.51,19.0,2/10/21 20:54,-0.9,2/10/21 20:53,68.0,2/10/21 20:53
2021-02-11 03:00:00,2021-02-10,22,87754.23,19.0,2/10/21 21:54,-2.9,2/10/21 21:53,,
2021-02-11 04:00:00,2021-02-10,23,84864.3,19.0,2/10/21 22:54,-4.0,2/10/21 22:53,,
2021-02-11 05:00:00,2021-02-10,24,81517.32,19.0,2/10/21 23:54,-5.1,2/10/21 23:53,,
2021-02-11 06:00:00,2021-02-11,1,79092.86,19.0,2/11/21 0:54,-6.0,2/11/21 0:53,,
2021-02-11 07:00:00,2021-02-11,2,77471.2,19.0,2/11/21 1:54,-8.0,2/11/21 1:53,,
2021-02-11 08:00:00,2021-02-11,3,76701.34,18.0,2/11/21 2:54,-8.0,2/11/21 2:53,,
2021-02-11 09:00:00,2021-02-11,4,76533.9,18.0,2/11/21 3:54,-8.0,2/11/21 3:53,,
2021-02-11 10:00:00,2021-02-11,5,77242.04,18.0,2/11/21 4:54,-9.0,2/11/21 4:53,,
2021-02-11 11:00:00,2021-02-11,6,79172.22,19.0,2/11/21 5:54,-9.0,2/11/21 5:53,,
2021-02-11 12:00:00,2021-02-11,7,83001.61,19.0,2/11/21 6:54,-8.0,2/11/21 6:53,,
2021-02-11 13:00:00,2021-02-11,8,88028.25,19.0,2/11/21 7:54,-9.0,2/11/21 7:53,,
2021-02-11 14:00:00,2021-02-11,9,90619.95,19.0,2/11/21 8:54,-9.0,2/11/21 8:53,70.0,2/11/21 8:53
2021-02-11 15:00:00,2021-02-11,10,91511.25,19.9,2/11/21 9:54,-8.0,2/11/21 9:53,72.0,2/11/21 9:53
2021-02-11 16:00:00,2021-02-11,11,91654.23,19.9,2/11/21 10:54,-7.1,2/11/21 10:53,75.0,2/11/21 10:53
2021-02-11 17:00:00,2021-02-11,12,91358.29,21.0,2/11/21 11:54,-5.1,2/11/21 11:53,73.0,2/11/21 11:53
2021-02-11 18:00:00,2021-02-11,13,90697.43,23.0,2/11/21 12:54,-2.9,2/11/21 12:53,,
2021-02-11 19:00:00,2021-02-11,14,90169.86,23.0,2/11/21 13:54,-0.9,2/11/21 13:53,66.0,2/11/21 13:53
2021-02-11 20:00:00,2021-02-11,15,89534.56,23.0,2/11/21 14:54,0.0,2/11/21 14:53,66.0,2/11/21 14:53
2021-02-11 21:00:00,2021-02-11,16,89091.25,21.9,2/11/21 15:54,0.0,2/11/21 15:53,66.0,2/11/21 15:53
2021-02-11 22:00:00,2021-02-11,17,89331.66,21.0,2/11/21 16:54,-0.9,2/11/21 16:53,66.9,2/11/21 16:53
2021-02-11 23:00:00,2021-02-11,18,90516.78,19.9,2/11/21 17:54,-0.9,2/11/21 17:53,68.0,2/11/21 17:53
2021-02-12 00:00:00,2021-02-11,19,93243.41,19.9,2/11/21 18:54,-2.0,2/11/21 18:53,64.9,2/11/21 18:53
2021-02-12 01:00:00,2021-02-11,20,94421.17,19.0,2/11/21 19:54,-2.9,2/11/21 19:53,64.9,2/11/21 19:53
2021-02-12 02:00:00,2021-02-11,21,93210.04,18.0,2/11/21 20:54,-4.0,2/11/21 20:53,64.0,2/11/21 20:53
2021-02-12 03:00:00,2021-02-11,22,91258.61,18.0,2/11/21 21:54,-4.0,2/11/21 21:53,57.9,2/11/21 21:53
2021-02-12 04:00:00,2021-02-11,23,88275.73,19.0,2/11/21 22:54,-4.0,2/11/21 22:53,54.0,2/11/21 22:53
2021-02-12 05:00:00,2021-02-11,24,85319.01,19.0,2/11/21 23:54,-2.9,2/11/21 23:53,52.0,2/11/21 23:53
2021-02-12 06:00:00,2021-02-12,1,82664.52,19.0,2/12/21 0:54,-4.0,2/12/21 0:53,54.0,2/12/21 0:53
2021-02-12 07:00:00,2021-02-12,2,81023.68,19.0,2/12/21 1:54,-5.1,2/12/21 1:53,53.1,2/12/21 1:53
2021-02-12 08:00:00,2021-02-12,3,80148.27,19.0,2/12/21 2:54,-6.0,2/12/21 2:53,52.0,2/12/21 2:53
2021-02-12 09:00:00,2021-02-12,4,80065.98,19.0,2/12/21 3:54,-7.1,2/12/21 3:53,51.1,2/12/21 3:53
2021-02-12 10:00:00,2021-02-12,5,80507.4,19.9,2/12/21 4:54,-9.0,2/12/21 4:53,50.0,2/12/21 4:53
2021-02-12 11:00:00,2021-02-12,6,82586.8,19.9,2/12/21 5:54,-9.9,2/12/21 5:53,50.0,2/12/21 5:53
2021-02-12 12:00:00,2021-02-12,7,86789.81,19.0,2/12/21 6:54,-11.9,2/12/21 6:53,48.9,2/12/21 6:53
2021-02-12 13:00:00,2021-02-12,8,91759.06,19.0,2/12/21 7:54,-13.0,2/12/21 7:53,46.9,2/12/21 7:53
2021-02-12 14:00:00,2021-02-12,9,94265.92,19.9,2/12/21 8:54,-13.0,2/12/21 8:53,48.9,2/12/21 8:53
2021-02-12 15:00:00,2021-02-12,10,95330.1,21.0,2/12/21 9:54,-11.0,2/12/21 9:53,45.0,2/12/21 9:53
2021-02-12 16:00:00,2021-02-12,11,95379.24,23.0,2/12/21 10:54,-9.0,2/12/21 10:53,46.0,2/12/21 10:53
2021-02-12 17:00:00,2021-02-12,12,94641.32,25.0,2/12/21 11:54,-8.0,2/12/21 11:53,46.9,2/12/21 11:53
2021-02-12 18:00:00,2021-02-12,13,93626.33,26.1,2/12/21 12:54,-7.1,2/12/21 12:53,48.0,2/12/21 12:53
2021-02-12 19:00:00,2021-02-12,14,92380.08,25.0,2/12/21 13:54,-6.0,2/12/21 13:53,48.0,2/12/21 13:53
2021-02-12 20:00:00,2021-02-12,15,91638.22,26.1,2/12/21 14:54,-5.1,2/12/21 14:53,48.9,2/12/21 14:53
2021-02-12 21:00:00,2021-02-12,16,90707.36,26.6,2/12/21 15:54,-5.1,2/12/21 15:53,48.9,2/12/21 15:53
2021-02-12 22:00:00,2021-02-12,17,90640.04,26.1,2/12/21 16:54,-5.1,2/12/21 16:53,48.9,2/12/21 16:53
2021-02-12 23:00:00,2021-02-12,18,91694.55,24.1,2/12/21 17:54,-6.0,2/12/21 17:53,48.9,2/12/21 17:53
2021-02-13 00:00:00,2021-02-12,19,94461.53,24.1,2/12/21 18:54,-7.1,2/12/21 18:53,48.9,2/12/21 18:53
2021-02-13 01:00:00,2021-02-12,20,95958.74,23.0,2/12/21 19:54,-8.0,2/12/21 19:53,48.0,2/12/21 19:53
2021-02-13 02:00:00,2021-02-12,21,94875.39,24.1,2/12/21 20:54,-8.0,2/12/21 20:53,48.0,2/12/21 20:53
2021-02-13 03:00:00,2021-02-12,22,93228.09,23.0,2/12/21 21:54,-8.0,2/12/21 21:53,44.1,2/12/21 21:53
