UTC Timestamp (Interval Ending),MISO Total Actual Load (MW),Indianapolis Temperature (Fahrenheit),Minneapolis Temperature (Fahrenheit),New Orleans International Airport Temperature (Fahrenheit),MISO Total Wind Generation (MW),GDP
2021-02-10 06:00:00,77859.97,19.9,0.0,64.0,5376.71,3478771.7444444443
2021-02-10 07:00:00,76211.1,19.9,-0.9,63.0,5019.58,3478797.7870370373
2021-02-10 08:00:00,75295.06,19.9,-4.0,63.0,4895.51,3478823.82962963
2021-02-10 09:00:00,75164.21,19.9,-2.0,63.0,4747.13,3478849.8722222224
2021-02-10 10:00:00,75743.83,19.9,-2.0,62.1,4341.06,3478875.914814815
2021-02-10 11:00:00,77519.41,19.9,-0.9,62.1,4097.84,3478901.9574074075
2021-02-10 12:00:00,81405.69,19.9,-2.9,64.0,3803.82,3478928.0
2021-02-10 13:00:00,86524.87,19.9,-2.0,64.9,3560.23,3478954.0425925925
2021-02-10 14:00:00,88848.72,19.9,0.0,64.9,3451.87,3478980.085185185
2021-02-10 15:00:00,89552.29,21.0,1.9,66.0,3398.35,3479006.127777778
2021-02-10 16:00:00,89443.58,21.0,3.0,66.9,2855.39,3479032.1703703706
2021-02-10 17:00:00,88939.44,21.9,5.0,66.0,2501.78,3479058.212962963
2021-02-10 18:00:00,88190.58,21.9,5.0,68.0,2447.2,3479084.2555555557
2021-02-10 19:00:00,87474.25,21.9,7.0,69.1,2687.67,3479110.298148148
2021-02-10 20:00:00,86936.68,21.9,7.0,73.0,3038.37,3479136.3407407408
2021-02-10 21:00:00,86225.69,21.0,8.1,73.9,3426.2,3479162.3833333333
2021-02-10 22:00:00,85955.58,21.0,8.1,73.0,3744.83,3479188.425925926
2021-02-10 23:00:00,87144.98,21.0,6.1,72.0,3946.69,3479214.468518519
2021-02-11 00:00:00,89768.98,19.9,3.9,69.1,3873.37,3479240.5111111114
2021-02-11 01:00:00,91024.26,19.0,1.0,68.0,4119.2,3479266.553703704
2021-02-11 02:00:00,89904.51,19.0,-0.9,68.0,4715.97,3479292.5962962965
2021-02-11 03:00:00,87754.23,19.0,-2.9,,5414.9,3479318.638888889
2021-02-11 04:00:00,84864.3,19.0,-4.0,,6232.48,3479344.6814814815
2021-02-11 05:00:00,81517.32,19.0,-5.1,,6714.3,3479370.724074074
2021-02-11 06:00:00,79092.86,19.0,-6.0,,8028.74,3479396.7666666666
2021-02-11 07:00:00,77471.2,19.0,-8.0,,8052.45,3479422.809259259
2021-02-11 08:00:00,76701.34,18.0,-8.0,,7910.58,3479448.851851852
2021-02-11 09:00:00,76533.9,18.0,-8.0,,7457.4,3479474.8944444447
2021-02-11 10:00:00,77242.04,18.0,-9.0,,7168.79,3479500.937037037
2021-02-11 11:00:00,79172.22,19.0,-9.0,,7163.52,3479526.9796296298
2021-02-11 12:00:00,83001.61,19.0,-8.0,,6877.17,3479553.0222222223
2021-02-11 13:00:00,88028.25,19.0,-9.0,,6731.66,3479579.064814815
2021-02-11 14:00:00,90619.95,19.0,-9.0,70.0,6521.94,3479605.1074074074
2021-02-11 15:00:00,91511.25,19.9,-8.0,72.0,6791.59,3479631.15
2021-02-11 16:00:00,91654.23,19.9,-7.1,75.0,6768.8,3479657.192592593
2021-02-11 17:00:00,91358.29,21.0,-5.1,73.0,6140.5,3479683.2351851854
2021-02-11 18:00:00,90697.43,23.0,-2.9,,5108.33,3479709.277777778
2021-02-11 19:00:00,90169.86,23.0,-0.9,66.0,4537.35,3479735.3203703705
2021-02-11 20:00:00,89534.56,23.0,0.0,66.0,4500.52,3479761.362962963
2021-02-11 21:00:00,89091.25,21.9,0.0,66.0,4767.06,3479787.4055555556
2021-02-11 22:00:00,89331.66,21.0,-0.9,66.9,5380.8,3479813.448148148
2021-02-11 23:00:00,90516.78,19.9,-0.9,68.0,6423.65,3479839.4907407407
2021-02-12 00:00:00,93243.41,19.9,-2.0,64.9,6822.32,3479865.533333333
2021-02-12 01:00:00,94421.17,19.0,-2.9,64.9,7390.36,3479891.575925926
2021-02-12 02:00:00,93210.04,18.0,-4.0,64.0,8164.91,3479917.6185185187
2021-02-12 03:00:00,91258.61,18.0,-4.0,57.9,9262.26,3479943.6611111113
2021-02-12 04:00:00,88275.73,19.0,-4.0,54.0,10209.24,3479969.703703704
2021-02-12 05:00:00,85319.01,19.0,-2.9,52.0,10348.15,3479995.7462962964
2021-02-12 06:00:00,82664.52,19.0,-4.0,54.0,10315.13,3480021.788888889
2021-02-12 07:00:00,81023.68,19.0,-5.1,53.1,10677.11,3480047.8314814814
2021-02-12 08:00:00,80148.27,19.0,-6.0,52.0,10819.33,3480073.874074074
2021-02-12 09:00:00,80065.98,19.0,-7.1,51.1,10641.17,3480099.916666667
2021-02-12 10:00:00,80507.4,19.9,-9.0,50.0,10799.83,3480125.9592592595
2021-02-12 11:00:00,82586.8,19.9,-9.9,50.0,10637.92,3480152.001851852
2021-02-12 12:00:00,86789.81,19.0,-11.9,48.9,10566.57,3480178.0444444446
2021-02-12 13:00:00,91759.06,19.0,-13.0,46.9,10889.79,3480204.087037037
